Date,ID,Na,Mg,Al,Si,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Pb,BC,PM 2.5
10/3/2017/,42k,0.0279239380759431,0.00782178034495564,0.015886127213118,0.0367886545311585,0.334953470009,0.0603177209346586,0.0673354337164571,0.00184527250515772,0.000806555099192479,0.00154911184196813,0.00170669450281096,0.0331367288839943,0.000815323110931733,0.00162067807000367,0.00769939076838779,0.00254482250577941,0.00503800494447726,2.4619262754913,5.13444357118159
12/3/2017/,43k,0.115077543171233,0.0168278327783201,0.0110181569416412,0.0207085489818368,0.367928557608888,0.0377197598459033,0.0142566588341846,0.00077062690755582,0.000374832899231505,0.00206047110789691,0.0028745104477932,0.0226628189105153,0.00112085119879731,0.00177098094304837,0.00794077372427961,0.00124824474089841,0.00163334520273413,1.75694241259985,3.90246567537526
14/3/2017/,44k,0.065148789856274,0.0137408003565088,0.0255258577762884,0.0570307600873803,1.06725453436863,0.16776634679772,0.0856649462044714,0.00290733469699291,0.00821544561716186,0.00185408542369623,0.00523576025334834,0.076084129461086,0.00451041646653999,0.00339062645390454,0.0187018661762771,0.00420154388293163,0.00826757375182991,3.34465946405809,10.1744540896647
16/3/2017/,45k,0.118775393421053,0.0232348938099975,0.0509716569876197,0.123060774828279,0.987270727020823,0.200617056517196,0.106292274396828,0.00423997627527346,0.00623060171851116,0.00209131406765026,0.00812181124169793,0.10795182567156,0.00314897171047846,0.00359040863974614,0.0232836989203482,0.00476095446602878,0.00950856294600956,4.56429241305479,13.8845775205127
18/3/2017/,46k,0.155591428310308,0.02683719616886,0.0424948267874375,0.106426949973853,1.36891189312613,0.198548856301747,0.0723957285439488,0.00443530109347113,0.0213019579997696,0.00300865980196198,0.00556467801972737,0.0974180638995342,0.0114461022263163,0.00377471511476297,0.0185173330340291,0.00761821203602205,0.0102222632858743,3.52102590476058,13.8845775205127
20/3/2017/,47k,0.243467630649848,0.0400108641165146,0.0271438295103746,0.0720992128238982,1.04034096543547,0.154200440515757,0.0492877973826458,0.00209345525776952,0.0118732785585927,0.00163258964900063,0.00238734254410581,0.0470749867182479,0.0058454778529403,0.00265802460852559,0.00806049340917194,0.00598654130475752,0.00797060577640327,2.87888462954451,10.665205533509
22/3/2017/,48k,0.205887163359832,0.0326707232307597,0.0283494339687216,0.0654455948814914,1.35702528769261,0.193048130419168,0.0575652000638846,0.00254196213883383,0.016523793300155,0.00185758003974748,0.00491012790255172,0.0558600859732083,0.00811873626035744,0.00257676651423931,0.011294414513583,0.00496265025167691,0.00627786611428807,3.28312723249759,13.7206161292868
24/3/2017/,49k,0.166885326916556,0.0293384105515334,0.0477313659305756,0.0998745950428067,1.17966813851277,0.172307588403473,0.0755540147045281,0.00354129935230206,0.0067672060732764,0.00178635912601558,0.00443947821231386,0.0722206186805814,0.00419521533643961,0.00375417455589234,0.009932873980421,0.00575241691739638,0.00881496818016601,3.9886786131117,13.7955270544809
26/3/2017/,50k,0.0823528625511216,0.0224682003611815,0.0337901029224703,0.0801416261170098,0.740022940858485,0.150003919334159,0.177904374682102,0.00319242175267522,0.00156837346997936,0.00143096739010175,0.00178318672801208,0.0581700145293378,0.00116291241733457,0.00315086975968519,0.0141008173159602,0.00484667098932431,0.0102597826621078,3.42131813360795,11.764757785696
28/3/2017/,51k,0.0526729190728875,0.0132318724699474,0.020808639846508,0.0532939522546103,0.403906004727805,0.103123826545407,0.083521896474094,0.00193194453985214,0.0047308921331519,0.00165664281978925,0.00338229161410667,0.0622151334816246,0.00236984765138298,0.00211187729935571,0.0110053334711195,0.00367341901777069,0.00706905799757161,3.21253436764423,6.38338217872349
